database_name,schema_name,object_name,object_type,column_name,data_type,max_length,precision,scale,is_nullable,is_primary_key
OlistSQLDB,dbo,orders_view,View,order_id,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,orders_view,View,customer_id,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,orders_view,View,order_status,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,orders_view,View,order_purchase_timestamp,datetime2,8,27,7,True,NO
OlistSQLDB,dbo,orders_view,View,order_approved_at,datetime2,8,27,7,True,NO
OlistSQLDB,dbo,orders_view,View,order_delivered_carrier_date,datetime2,8,27,7,True,NO
OlistSQLDB,dbo,orders_view,View,order_delivered_customer_date,datetime2,8,27,7,True,NO
OlistSQLDB,dbo,orders_view,View,order_estimated_delivery_date,datetime2,8,27,7,True,NO
OlistSQLDB,dbo,product_category_view,View,product_category_name_clean,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,product_category_view,View,product_category_name_english_title,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,products_view,View,product_id,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,products_view,View,product_category_name,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,products_view,View,product_name_length,int,4,10,0,True,NO
OlistSQLDB,dbo,products_view,View,product_description_length,int,4,10,0,True,NO
OlistSQLDB,dbo,products_view,View,product_photos_qty,int,4,10,0,True,NO
OlistSQLDB,dbo,products_view,View,product_weight_g,int,4,10,0,True,NO
OlistSQLDB,dbo,products_view,View,product_length_cm,int,4,10,0,True,NO
OlistSQLDB,dbo,products_view,View,product_height_cm,int,4,10,0,True,NO
OlistSQLDB,dbo,products_view,View,product_width_cm,int,4,10,0,True,NO
OlistSQLDB,dbo,sellers_view,View,seller_id,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,sellers_view,View,seller_zip_code_prefix,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,sellers_view,View,seller_city,varchar,8000,0,0,True,NO
OlistSQLDB,dbo,sellers_view,View,seller_state,varchar,8000,0,0,True,NO
